first_name,second_name,goals_scored,attempted_passes,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Gabriel Teodoro,Martinelli Silva,0,,0,1,6,0,0.5,1.0,0.0,0,2,0.2,0,0,0,1.6,45,4
Kieran,Tierney,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,54,2
Ahmed,El Mohamady,0,,0,6,184,5,71.9,50.2,2.0,3,47,12.3,0,0,0,1.6,45,2
James,Chester,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,2
Neil,Taylor,0,,0,9,360,6,20.9,62.2,26.0,0,58,10.9,1,0,1,0.3,45,2
Kortney,Hause,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,2
Jonathan,Kodjia,0,,0,1,16,2,0.0,0.0,2.0,0,4,0.2,0,0,0,0.2,54,4
Ørjan,Nyland,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,1
Conor,Hourihane,0,,0,3,100,2,35.9,22.4,0.0,0,18,5.8,0,0,0,0.1,58,3
Jack,Grealish,0,,1,12,360,6,109.4,85.8,42.0,1,68,23.7,1,0,1,4.9,60,3
Anwar,El Ghazi,1,,0,10,177,5,16.9,38.8,125.0,0,23,18.2,0,0,0,0.4,55,3
John,McGinn,1,,1,17,360,6,91.2,117.6,71.0,0,58,27.9,1,0,0,6.8,56,3
Andre,Green,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,3
Birkir,Bjarnason,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,3
Keinan,Davis,0,,0,2,34,1,11.6,8.0,0.0,0,9,1.9,0,0,0,0.3,45,3
Henri,Lansbury,0,,0,1,5,0,0.7,2.0,2.0,0,2,0.5,0,0,0,0.5,44,3
José Ignacio,Peleteiro Romallo,0,,1,9,180,3,52.2,40.0,13.0,0,29,10.5,1,0,0,0.3,59,3
Tom,Heaton,0,,0,12,360,6,0.0,71.8,0.0,0,61,7.1,1,0,0,6.8,45,1
Matt,Targett,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,44,2
Wesley,Moraes,1,,0,15,337,4,37.8,58.6,128.0,3,44,22.5,1,0,0,1.9,60,4
Jed,Steer,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,1
Tyrone,Mings,0,,1,16,360,6,25.2,149.2,6.0,3,88,18.0,1,0,0,4.7,45,2
Ezri,Konsa Ngoyo,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,2
Bjorn,Engels,0,,0,13,360,6,1.8,89.4,11.0,3,69,10.3,1,0,0,0.5,45,2
Frédéric,Guilbert,0,,0,6,180,1,16.7,18.2,12.0,0,23,4.7,1,0,2,0.6,44,2
Mahmoud Ahmed,Ibrahim Hassan,0,,0,3,282,3,34.7,27.0,128.0,0,-6,18.7,1,1,1,1.7,54,3
Douglas Luiz,Soares de Paulo,1,,0,15,258,4,25.6,75.4,16.0,2,49,11.8,2,0,1,4.8,46,3
Lovre,Kalinic,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,1
Marvelous,Nakamba,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,3
Steve,Cook,0,,0,6,360,8,11.1,92.0,4.0,0,53,10.7,0,0,0,0.2,50,2
Nathan,Aké,0,,0,5,360,8,24.1,92.0,65.0,0,56,18.1,0,0,1,12.7,49,2
Charlie,Daniels,0,,0,3,126,2,29.6,22.4,0.0,0,18,5.2,0,0,0,0.2,45,2
Chris,Mepham,1,,0,12,270,7,2.5,91.6,72.0,2,50,16.6,0,0,0,1.6,45,2
Simon,Francis,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,2
Adam,Smith,0,,0,5,310,7,10.0,26.6,63.0,0,39,9.9,0,0,1,1.0,45,2
Lloyd,Kelly,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,2
Diego,Rico,0,,0,2,90,1,16.6,21.0,3.0,0,13,4.1,0,0,0,6.9,40,2
Jack,Simpson,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.2,40,2
Callum,Wilson,1,,3,20,337,8,98.3,54.8,99.0,0,59,25.3,0,0,1,10.0,78,4
Joshua,King,1,,0,12,348,8,51.6,63.8,67.0,0,35,18.2,0,0,0,11.0,64,4
Dominic,Solanke,0,,0,4,62,1,12.9,11.8,65.0,0,11,9.0,0,0,0,0.4,54,4
Sam,Surridge,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,44,4
Asmir,Begovic,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,44,1
Artur,Boruc,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,1
Mark,Travers,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,1
