assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,46,100,100,0,198849,0,0,-1,1,60.6,0,3,2.5,3.5,1,Lucas,2.5,3,1,21.3,19,False,69.4,139,,2019-09-08T21:00:18.773636Z,49,0,0,0,198849.jpg,2.2,0,0,Torreira,1.5,False,None,a,1,3,83.0,11,44302,2404,91567,8395,0.5,2.2,Torreira,0
0,0,0,0,0,0,153256,-1,1,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,None,n,1,3,0.0,0,36476,6167,35532,3592,0.0,0.0,Elneny,0
2,2,98,None,None,1,242166,0,0,1,-1,90.5,0,3,3.5,4.5,4,Matteo,3.5,9,0,26.2,21,False,115.6,511,,None,46,0,0,0,242166.jpg,3.2,0,0,Guendouzi,10.0,False,None,a,1,3,55.0,19,533583,79642,261047,34133,0.8,4.1,Guendouzi,2
0,0,63,None,None,0,41270,-1,1,-2,2,9.9,0,2,0.8,1.8,1,David,0.8,10,0,13.7,106,False,111.0,450,,None,58,0,0,0,41270.jpg,0.8,0,0,Luiz Moreira Marinho,5.5,False,None,a,1,3,16.0,4,48496,2602,297926,26325,0.1,0.7,David Luiz,2
0,0,0,None,None,0,98980,0,0,-1,1,0.0,0,1,0.0,1.0,0,Emiliano,0.0,0,0,0.0,427,False,0.0,0,,None,44,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,None,a,1,3,0.0,0,2824,371,7430,676,0.0,0.0,Martínez,0
0,0,43,None,None,1,101184,0,0,-1,1,11.2,0,2,1.8,2.8,7,Calum,1.8,1,1,10.2,467,False,59.8,135,,None,44,0,0,0,101184.jpg,6.5,0,0,Chambers,0.9,False,None,a,1,3,31.0,13,41482,9261,46015,3098,0.4,3.0,Chambers,0
2,3,68,None,None,0,182539,0,0,2,-2,98.9,1,3,1.5,2.5,2,Daniel,1.5,7,0,22.5,469,False,84.2,325,,None,57,0,0,0,182539.jpg,3.0,0,0,Ceballos Fernández,11.1,False,None,a,1,3,43.0,18,954515,14287,540682,132160,0.3,3.2,Ceballos,0
1,2,71,100,100,0,195735,0,0,-1,1,150.8,0,3,4.2,5.2,8,Nicolas,4.2,9,1,46.0,488,False,110.2,424,,2019-08-09T09:30:12.533555Z,94,0,0,0,195735.jpg,3.2,0,0,Pépé,3.4,False,None,a,1,3,198.0,19,122842,12089,244402,20271,0.4,2.0,Pépé,1
0,0,10,None,None,1,200641,0,0,-1,1,41.5,0,3,0.2,1.2,0,Reiss,0.2,2,0,12.4,489,False,22.0,134,,None,54,0,0,0,200641.jpg,1.3,0,0,Nelson,0.1,False,None,a,1,3,60.0,4,6954,228,10508,923,0.0,0.7,Nelson,1
0,0,37,100,100,1,200089,0,0,0,0,58.4,0,3,1.0,2.0,1,Joseph,1.0,5,0,14.0,490,False,33.4,281,,2019-09-07T11:30:17.190466Z,50,0,0,0,200089.jpg,1.8,0,0,Willock,0.3,False,None,a,1,3,48.0,9,19967,896,19015,1543,0.2,1.8,Willock,0
